//Used two threads, tried to solve same problem, each in a different thread
//and only one completed properly

[Server@619a5dff]: Startup sequence initiated from main() method
[Server@619a5dff]: Could not load properties from file
[Server@619a5dff]: Using cli/default properties only
[Server@619a5dff]: Initiating startup sequence...
[Server@619a5dff]: Server socket opened successfully in 13 ms.
[Server@619a5dff]: Database [index=0, id=0, db=mem:../database/db, alias=database] opened successfully in 494 ms.
[Server@619a5dff]: Startup sequence completed in 565 ms.
[Server@619a5dff]: 2021-08-15 14:36:03.763 HSQLDB server 2.6.0 is online on port 9001
[Server@619a5dff]: To close normally, connect and execute SHUTDOWN SQL
[Server@619a5dff]: From command line, use [Ctrl]+[C] to abort abruptly
getVariableCount:1629038203786,14,HSQLDB Connection @5945d365
getVariableCount:1629038203851,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038203886,14,HSQLDB Connection @5945d365
getVariableCount:1629038203951,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038203986,14,HSQLDB Connection @5945d365
getVariableCount:1629038204051,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204086,14,HSQLDB Connection @5945d365
getVariableCount:1629038204151,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204187,14,HSQLDB Connection @5945d365
getVariableCount:1629038204252,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204287,14,HSQLDB Connection @5945d365
getVariableCount:1629038204352,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204387,14,HSQLDB Connection @5945d365
getVariableCount:1629038204452,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204488,14,HSQLDB Connection @5945d365
getVariableCount:1629038204553,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204588,14,HSQLDB Connection @5945d365
getVariableCount:1629038204653,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204688,14,HSQLDB Connection @5945d365
getVariableCount:1629038204753,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204789,14,HSQLDB Connection @5945d365
getVariableCount:1629038204854,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204889,14,HSQLDB Connection @5945d365
getVariableCount:1629038204954,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038204989,14,HSQLDB Connection @5945d365
getVariableCount:1629038205054,17,HSQLDB Connection @563bf2bb
